,episode,score
716,716,18.0
717,717,12.0
718,718,21.0
719,719,17.0
720,720,17.0
721,721,14.0
722,722,19.0
723,723,10.0
724,724,14.0
725,725,15.0
726,726,17.0
727,727,19.0
728,728,17.0
729,729,15.0
730,730,13.0
731,731,13.0
732,732,18.0
733,733,10.0
734,734,20.0
735,735,18.0
736,736,8.0
737,737,21.0
738,738,22.0
739,739,23.0
740,740,15.0
741,741,15.0
742,742,18.0
743,743,16.0
744,744,20.0
745,745,20.0
746,746,14.0
747,747,20.0
748,748,8.0
749,749,12.0
750,750,13.0
751,751,14.0
752,752,20.0
753,753,18.0
754,754,17.0
755,755,13.0
756,756,19.0
757,757,16.0
758,758,13.0
759,759,19.0
760,760,18.0
761,761,17.0
762,762,10.0
763,763,15.0
764,764,16.0
765,765,20.0
766,766,15.0
767,767,11.0
768,768,19.0
769,769,13.0
770,770,17.0
771,771,15.0
772,772,18.0
773,773,17.0
774,774,15.0
775,775,14.0
776,776,19.0
777,777,13.0
778,778,9.0
779,779,22.0
780,780,14.0
781,781,20.0
782,782,15.0
783,783,12.0
784,784,21.0
785,785,20.0
786,786,11.0
787,787,22.0
788,788,18.0
789,789,13.0
790,790,15.0
791,791,16.0
792,792,13.0
793,793,11.0
794,794,13.0
795,795,21.0
796,796,21.0
797,797,15.0
798,798,11.0
799,799,18.0
800,800,14.0
801,801,15.0
802,802,12.0
803,803,15.0
804,804,15.0
805,805,14.0
806,806,16.0
807,807,16.0
808,808,17.0
809,809,21.0
810,810,16.0
811,811,15.0
812,812,24.0
813,813,18.0
814,814,20.0
815,815,7.0
816,816,18.0
817,817,14.0
818,818,19.0
819,819,13.0
820,820,19.0
821,821,19.0
822,822,12.0
823,823,10.0
824,824,19.0
825,825,21.0
826,826,15.0
827,827,16.0
828,828,21.0
829,829,12.0
830,830,14.0
831,831,20.0
832,832,14.0
833,833,12.0
834,834,9.0
835,835,14.0
836,836,21.0
837,837,14.0
838,838,13.0
839,839,14.0
840,840,17.0
841,841,13.0
842,842,11.0
843,843,20.0
844,844,19.0
845,845,19.0
846,846,12.0
847,847,13.0
848,848,13.0
849,849,11.0
850,850,15.0
851,851,23.0
852,852,14.0
853,853,19.0
854,854,10.0
855,855,13.0
856,856,14.0
857,857,14.0
858,858,21.0
859,859,22.0
860,860,16.0
861,861,17.0
862,862,21.0
863,863,14.0
864,864,19.0
865,865,9.0
866,866,13.0
867,867,19.0
868,868,15.0
869,869,18.0
870,870,19.0
871,871,12.0
872,872,20.0
873,873,16.0
874,874,16.0
875,875,14.0
876,876,11.0
877,877,15.0
878,878,19.0
879,879,16.0
880,880,19.0
881,881,17.0
882,882,19.0
883,883,19.0
884,884,16.0
885,885,17.0
886,886,16.0
887,887,16.0
888,888,13.0
889,889,19.0
890,890,17.0
891,891,27.0
892,892,16.0
893,893,20.0
894,894,17.0
895,895,17.0
896,896,14.0
897,897,17.0
898,898,21.0
899,899,19.0
900,900,15.0
901,901,16.0
902,902,10.0
903,903,17.0
904,904,11.0
905,905,19.0
906,906,15.0
907,907,14.0
908,908,21.0
909,909,17.0
910,910,18.0
911,911,17.0
912,912,18.0
913,913,14.0
914,914,21.0
915,915,12.0
916,916,22.0
917,917,15.0
918,918,22.0
919,919,21.0
920,920,15.0
921,921,6.0
922,922,18.0
923,923,10.0
924,924,10.0
925,925,20.0
926,926,20.0
927,927,15.0
928,928,14.0
929,929,14.0
930,930,17.0
931,931,18.0
932,932,17.0
933,933,14.0
934,934,12.0
935,935,17.0
936,936,17.0
937,937,16.0
938,938,17.0
939,939,13.0
940,940,18.0
941,941,12.0
942,942,12.0
943,943,7.0
944,944,21.0
945,945,18.0
946,946,18.0
947,947,14.0
948,948,19.0
949,949,10.0
950,950,20.0
951,951,18.0
952,952,13.0
953,953,22.0
954,954,16.0
955,955,15.0
956,956,12.0
957,957,17.0
958,958,19.0
959,959,16.0
960,960,20.0
961,961,18.0
962,962,12.0
963,963,13.0
964,964,19.0
965,965,17.0
966,966,13.0
967,967,10.0
968,968,19.0
969,969,18.0
970,970,11.0
971,971,14.0
972,972,16.0
973,973,19.0
974,974,15.0
975,975,21.0
976,976,21.0
977,977,19.0
978,978,24.0
979,979,12.0
980,980,16.0
981,981,9.0
982,982,21.0
983,983,18.0
984,984,19.0
985,985,20.0
986,986,17.0
987,987,21.0
988,988,19.0
989,989,23.0
990,990,13.0
991,991,15.0
992,992,19.0
993,993,18.0
994,994,19.0
995,995,13.0
996,996,15.0
997,997,14.0
998,998,15.0
999,999,17.0
1000,1000,14.0
